author_id,author_name
693,Otegha Uwagba
694,Tsutsumi Chiharu
695,David Eagleman
696,Sirilak Rattanasuwaj
697,Thảo Trang
698,Carol S.Dweck
699,Aung San Suu Kyi
700,Mai Thanh Hạ
701,J. Krishnamurti
702,Sara Imas
703,Thái Phạm
704,Ohmura Tomoko
705,Grady Klein & Yoram Bauman
706,Nicole Elliott
707,Masaru Amono
708,Trương Nguyện Thành
709,Wladislaw Jachtchenko
710,Adam Khoo
711,Mizuki Harada
712,Sir Arthur Conan Doyle
713,Tống Ngọc 
714,Minh Tâm
715,Lois Lowry
716,Marcel Proust
717,Andrew Aziz
718,Nguyễn Hoàng Diệu Thủy
719,Glynis McCants
720,Miguel De Cervantes
721,Tống Phi
722,Robert Schwartz
723,Timothy Ferris
724,Tim Peake
725,Lão Phạm
726,Làn
727,Hubert Seipel
728,Lane Smith
729,Park Hyun-Wook
730,Shushu Le
731,Osamu Tanaka
732,Martin Amis
733,Gina Kim
734,Daniel J.Siegel
735,Ichikawa Takuji
736,Susie Morgenstern
737,C. J. Skuse
738,Michael Greger
739,Neale Donald Walsch
740,Thế Lữ
741,Andreas Moritz
742,A. S. Byatt
743,Phan Cẩm Thượng
744,Nguyễn Huy Thiệp
745,Endou Asari
746,Nguyễn Thùy Dung
747,Glen Arnold
748,Michelle Obama
749,Hal Elrod
750,Happy Live Team
751,Martina Lauchengco
752,Paul Arden
753,Vũ Trọng Phụng
754,Sakurai Gamon
755,Tatsuya Endo
756,Steven Pinker
757,Louisa May Alcott
758,Park Hee Jung
759,Marc Shapiro
760,Nhóm tác giả
761,J.K.Rowling
762,Han Sung Hee
763,Mo Rong Yin Dao
764,Anne Roumanoff
765,Vũ Thu Phương
766,Mother Teresa
767,Goscinny & Sempé
768,..
769,Lưu Vệ Hoa - Trương Hân Vũ
770,Janet Mills
771,Nikki Dyson
772,Chika Miyata
773,Alex Genadinik
774,Nguyễn Phát Lộc
775,Joseph Burgo PhD
776,Ngô Huy Tú
777,Kikue Tamura
778,The Zishi
779,ASATO ASATO
780,Lý Thế Cường
781,Paul Giran
782,Richard Newton
783,Thu Giang
784,David George Haskell
785,Gil Morales
786,Kazumi Yumoto
787,Kotoha Yao
788,Marcus Aurelius
789,Ahn Sang Hyun
790,ONO Eriko
791,Frederic Laloux
792,Akiko Higashimura
793,Linnea Dunne
794,Thomas C. Corley
795,Edith Nesbit
796,Stephen M. R. Covey
797,Acccototo
798,Mihiro Matsuda
799,Julia Dohaldson
800,Kurt Vonnegut
801,Hoàng Yến
802,Ken Watanabe
803,Mary Roach
804,Dr. Gareth Moore
805,Rando Kim
806,Orhan Pamuk
807,Mark Twain
808,Thomas L. Friedman
809,Maggie Kline
810,Aoyama Gosho
811,Tiến sĩ Seth J. Gillihan
812,Violeta Basic
813,James Shiuchi Nakano
814,Bé Lê Quốc Triều (Minh Niệm)
815,Từ Thính Phong
816,Yagisawa Satoshi
817,Sophie Crépon
818,Laura Kinsale
819,Hiromu
820,Trường Lê
821,Nguyễn Ngọc Khánh Chi
822,Stephen King
823,Thập Nhị
824,Alan John
825,Erika Takeuchi
826,Catherine Whitney
827,Yuki Yaku
828,Hồng Hạnh
829,Từ Ninh
830,Eric Weiner
831,Jack Canfield
832,Miya Tokokura
833,Keith Ferrazzi
834,Mộ Nhan Ca
835,Robert DiYanni
836, DK
837,Hạnh Nguyên
838,Rasmus Hoài Nam
839,Eric Emmanuel Schmitt
840,Hẻoo
841,Krasznahorkai László
842,DEVAR
843,HT.Thích Trí Tịnh
844,Rei
845,Dan Senor
846,Nancy Colier
847,Don Sexton
848,Jordan Belfort
849,Anne Taylor
850,Nigozyu
851,Don Norman
852,Đỗ Anh Vũ
853,Đặng Thùy Trâm
854,Ha Hyun
855,Thomas Cathcart
856,Phan Bảo Long
857,John Steinbeck
858,Tuệ Nghi
859,Nguyễn Thế Anh
